aadhaar,name,age,district,income_category,annual_income,livelihood,land_owned,house_type,house_ownership,dependents,is_sole_earner,has_insurance,savings_months,employer_support,family_support,previously_excluded,flood_severity,vulnerability_score,priority_tier,compensation_inr,phone,email
9379 2894 7311,Babu Yadav,58,"Darbhanga, Bihar",rich,1548967,salaried_govt,0.0,pucca,owned,4,0,0,6.7,1,0,0,28,34,Medium,0,9736026064,babu612@gmail.com
8066 2146 6409,Prakash Jha,61,"Araria, Bihar",upper_middle,771607,small_business,0.0,semi_pucca,owned,5,0,1,10.3,0,0,0,26,45,Medium,10000,9468723430,prakash231@yahoo.com
3851 5930 7653,Govind Mishra,57,"Morigaon, Assam",lower_middle,146469,daily_wage,0.0,semi_pucca,owned,5,1,0,1.2,0,1,1,25,80,Critical,75000,6500978820,govind821@yahoo.com
5649 9445 6491,Vijay Das,27,"Darbhanga, Bihar",poor,68009,daily_wage,0.0,kutcha,rented,2,1,0,0.4,0,0,0,28,83,Critical,100000,6219136193,vijay933@yahoo.com
4185 7291 9099,Govind Menon,47,"Araria, Bihar",poor,39656,daily_wage,0.0,kutcha,owned,2,1,0,0.5,0,0,1,26,81,Critical,100000,6916998543,govind817@yahoo.com
1822 5082 2988,Kamala Gupta,51,"Araria, Bihar",poor,79215,daily_wage,0.0,semi_pucca,owned,2,0,0,0.8,0,1,0,26,61,High,75000,8346247510,kamala392@outlook.com
9976 8305 3607,Rajesh Yadav,52,"Araria, Bihar",middle,319233,salaried_private,0.0,pucca,owned,3,0,0,5.8,0,0,0,26,50,High,35000,9991183842,rajesh852@gmail.com
5451 6502 6238,Mahesh Reddy,56,"Srikakulam, Andhra Pradesh",poor,48173,daily_wage,0.0,kutcha,owned,3,0,0,0.6,0,1,1,22,72,High,75000,8135427849,mahesh407@outlook.com
7883 7381 1320,Anita Nair,58,"Darbhanga, Bihar",poor,75478,daily_wage,0.0,kutcha,rented,4,1,0,0.4,0,1,0,28,83,Critical,100000,6841241182,anita892@yahoo.com
4595 5471 8140,Santosh Thakur,53,"Srikakulam, Andhra Pradesh",poor,49569,farmer,0.9,kutcha,owned,6,0,0,0.4,0,0,0,22,71,High,75000,8493534874,santosh708@gmail.com
1444 2375 8022,Priya Mishra,30,"Darbhanga, Bihar",middle,355341,salaried_private,0.0,semi_pucca,owned,2,0,0,1.8,0,1,0,28,51,High,35000,6164005242,priya227@yahoo.com
2341 8705 1317,Govind Rao,56,"Srikakulam, Andhra Pradesh",poor,51453,daily_wage,0.0,kutcha,rented,4,1,0,0.8,0,0,0,22,82,Critical,100000,9868011280,govind165@gmail.com
3068 8758 2874,Lakshmi Reddy,58,"Darbhanga, Bihar",middle,350431,salaried_private,0.0,semi_pucca,owned,4,1,0,1.2,1,1,0,28,53,High,35000,8982620450,lakshmi482@gmail.com
1420 6111 7149,Saranya Devi,47,"Araria, Bihar",middle,247172,salaried_private,0.0,pucca,owned,1,0,1,4.0,0,1,0,26,25,Medium,20000,8331586923,saranya686@gmail.com
9728 8018 7071,Suresh Jha,26,"Araria, Bihar",poor,71106,daily_wage,0.0,semi_pucca,owned,1,1,0,0.3,0,0,0,26,71,High,75000,7260256342,suresh193@yahoo.com
3885 9548 5425,Lakshmi Yadav,61,"Alappuzha, Kerala",upper_middle,620231,small_business,0.0,semi_pucca,owned,3,0,1,11.6,0,0,0,20,34,Medium,10000,6607337543,lakshmi880@outlook.com
7209 6511 1470,Parvathi Menon,53,"Alappuzha, Kerala",poor,77908,farmer,0.3,kutcha,owned,1,1,0,0.9,0,1,0,20,59,High,75000,7036541458,parvathi590@yahoo.com
4954 7658 9004,Prakash Das,57,"Morigaon, Assam",poor,46931,daily_wage,0.0,kutcha,rented,2,1,0,0.7,0,1,1,25,80,Critical,100000,9850142940,prakash356@yahoo.com
9698 6632 7971,Radha Thakur,57,"Araria, Bihar",middle,366605,salaried_private,0.0,pucca,owned,4,0,0,1.5,0,0,0,26,55,High,35000,6965569816,radha94@gmail.com
4138 4545 8933,Siva Patel,39,"Morigaon, Assam",upper_middle,637893,small_business,0.0,pucca,owned,3,1,1,4.1,0,1,0,25,40,Medium,10000,7406088356,siva979@yahoo.com
5786 3068 9042,Anita Iyer,28,"Alappuzha, Kerala",poor,49414,daily_wage,0.0,kutcha,owned,4,1,0,0.0,0,0,1,20,80,Critical,100000,6595148465,anita743@yahoo.com
2213 1878 3485,Selvi Thakur,31,"Darbhanga, Bihar",middle,305492,salaried_private,0.0,semi_pucca,owned,3,0,1,1.3,0,0,0,28,46,Medium,20000,9482366299,selvi551@gmail.com
5871 8025 6003,Deepak Gupta,58,"Alappuzha, Kerala",middle,245061,salaried_private,0.0,semi_pucca,owned,3,1,0,4.0,0,1,0,20,48,Medium,20000,8680443699,deepak703@gmail.com
2229 3564 1043,Sunita Iyer,48,"Alappuzha, Kerala",lower_middle,93006,daily_wage,0.0,semi_pucca,owned,3,0,0,0.6,0,0,1,20,70,High,50000,8777387214,sunita803@yahoo.com
2880 9922 4683,Prakash Yadav,63,"Srikakulam, Andhra Pradesh",poor,48881,farmer,0.7,kutcha,rented,1,0,0,0.7,0,0,0,22,66,High,75000,8134332003,prakash99@gmail.com
7594 5460 9199,Parvathi Pillai,56,"Araria, Bihar",poor,40873,daily_wage,0.0,kutcha,rented,4,0,0,0.8,0,0,1,26,86,Critical,100000,9917693676,parvathi490@outlook.com
1659 3870 8708,Priya Rao,55,"Srikakulam, Andhra Pradesh",poor,58313,farmer,0.6,kutcha,owned,3,0,1,0.2,0,0,0,22,51,High,75000,7201632870,priya333@outlook.com
3634 6403 7744,Babu Devi,66,"Srikakulam, Andhra Pradesh",upper_middle,706881,small_business,0.0,semi_pucca,owned,2,0,0,11.7,0,0,0,22,46,Medium,10000,7172788957,babu422@yahoo.com
9889 8569 7770,Rajesh Kumar,25,"Srikakulam, Andhra Pradesh",lower_middle,179680,farmer,1.4,semi_pucca,owned,4,0,0,1.0,0,0,1,22,66,High,50000,9872774348,rajesh53@yahoo.com
1472 4920 3594,Nalini Devi,41,"Araria, Bihar",poor,70986,daily_wage,0.0,semi_pucca,owned,1,1,0,0.3,0,1,1,26,71,High,75000,9347143455,nalini285@outlook.com
9337 5479 7807,Nalini Pillai,52,"Alappuzha, Kerala",poor,44725,daily_wage,0.0,semi_pucca,owned,2,0,0,0.5,0,1,0,20,55,High,75000,6223623166,nalini581@yahoo.com
7798 6568 9318,Mohan Rao,39,"Srikakulam, Andhra Pradesh",upper_middle,689021,salaried_govt,0.0,pucca,owned,4,1,1,8.4,1,0,0,22,18,Low,0,8876036690,mohan17@gmail.com
8460 6272 4090,Siva Mishra,66,"Darbhanga, Bihar",lower_middle,156931,farmer,1.8,semi_pucca,rented,5,0,0,1.3,0,0,1,28,82,Critical,75000,9705466889,siva445@yahoo.com
1606 3068 9229,Lakshmi Thakur,59,"Araria, Bihar",middle,383304,salaried_private,0.0,semi_pucca,owned,2,0,0,3.4,0,0,0,26,49,Medium,20000,7734670656,lakshmi218@yahoo.com
6546 7512 2315,Arun Rao,43,"Morigaon, Assam",upper_middle,452277,salaried_private,0.0,pucca,owned,3,0,1,9.5,0,0,0,25,29,Medium,10000,7729806990,arun381@outlook.com
2480 8110 2612,Mahesh Reddy,62,"Alappuzha, Kerala",middle,344311,salaried_private,0.0,semi_pucca,owned,5,0,0,5.4,1,1,0,20,40,Medium,20000,6627204653,mahesh965@gmail.com
3868 2293 7267,Sunita Patel,61,"Darbhanga, Bihar",poor,31897,farmer,0.8,kutcha,owned,1,1,0,0.4,0,1,0,28,67,High,75000,9556464170,sunita557@outlook.com
2210 8237 6661,Siva Patel,59,"Araria, Bihar",poor,60221,farmer,0.5,semi_pucca,rented,3,1,0,0.9,0,0,1,26,80,Critical,100000,6531003309,siva92@gmail.com
5847 5837 1359,Krishnan Menon,64,"Morigaon, Assam",middle,245561,salaried_private,0.0,pucca,owned,5,0,1,6.0,0,1,0,25,29,Medium,20000,7327193745,krishnan483@outlook.com
6772 4588 4115,Mahesh Reddy,61,"Srikakulam, Andhra Pradesh",poor,74944,daily_wage,0.0,kutcha,owned,3,0,0,0.9,0,0,0,22,72,High,75000,7991241904,mahesh541@outlook.com
7807 3877 4289,Mahesh Mehta,30,"Morigaon, Assam",lower_middle,162242,farmer,1.1,semi_pucca,rented,2,0,0,1.7,0,0,1,25,69,High,50000,9631931491,mahesh931@gmail.com
8673 2233 3306,Jyothi Devi,36,"Alappuzha, Kerala",poor,47860,daily_wage,0.0,semi_pucca,owned,2,0,0,0.8,0,0,0,20,60,High,75000,6586518506,jyothi212@yahoo.com
2775 4830 8724,Murugan Jha,23,"Srikakulam, Andhra Pradesh",upper_middle,606870,small_business,0.0,semi_pucca,owned,2,1,1,7.1,0,0,0,22,36,Medium,10000,9165726284,murugan630@outlook.com
9071 2902 2592,Suresh Pillai,37,"Alappuzha, Kerala",lower_middle,88285,farmer,1.4,semi_pucca,rented,4,0,0,1.9,0,1,1,20,64,High,50000,9769453147,suresh483@yahoo.com
9017 7686 5583,Govind Devi,24,"Alappuzha, Kerala",poor,73940,daily_wage,0.0,kutcha,owned,6,0,0,0.5,0,0,0,20,75,Critical,100000,7799650752,govind62@yahoo.com
7523 5520 4109,Krishnan Sharma,29,"Morigaon, Assam",rich,2665189,business_owner,13.3,pucca,owned,2,0,1,18.3,0,0,0,25,20,Low,0,9354549480,krishnan376@outlook.com
4394 4538 4817,Geetha Das,43,"Srikakulam, Andhra Pradesh",lower_middle,163819,daily_wage,0.0,semi_pucca,rented,2,0,1,2.4,0,1,1,22,52,High,50000,7136783777,geetha142@outlook.com
6869 4898 6304,Arvind Kumar,23,"Araria, Bihar",poor,39482,daily_wage,0.0,kutcha,owned,0,0,0,0.8,0,1,0,26,61,High,75000,6143634957,arvind231@gmail.com
1710 9543 5941,Rajesh Reddy,51,"Araria, Bihar",lower_middle,135176,farmer,2.0,kutcha,rented,3,0,0,2.3,0,0,1,26,77,Critical,75000,8685574443,rajesh985@gmail.com
3067 5505 9984,Lakshmi Das,67,"Darbhanga, Bihar",poor,57936,daily_wage,0.0,kutcha,owned,2,1,0,0.9,0,1,1,28,78,Critical,100000,6351823374,lakshmi952@outlook.com
8398 4743 7779,Geetha Yadav,43,"Morigaon, Assam",upper_middle,678164,salaried_govt,0.0,pucca,owned,2,1,1,6.9,1,0,0,25,16,Low,0,8134352408,geetha742@yahoo.com
8075 2582 7105,Kavitha Das,30,"Srikakulam, Andhra Pradesh",poor,50483,farmer,0.7,kutcha,owned,3,1,0,0.2,0,0,1,22,76,Critical,100000,7400842710,kavitha174@gmail.com
6119 6761 2697,Anita Pillai,58,"Alappuzha, Kerala",rich,2182635,salaried_govt,0.0,pucca,owned,2,0,1,21.7,1,0,0,20,6,Low,0,8777520471,anita775@gmail.com
1430 5381 1474,Usha Iyer,33,"Alappuzha, Kerala",lower_middle,109392,farmer,1.2,kutcha,owned,4,0,0,0.3,0,1,1,20,64,High,50000,6671902294,usha820@gmail.com
9691 4524 7163,Priya Das,48,"Morigaon, Assam",poor,41888,daily_wage,0.0,kutcha,owned,4,0,0,0.4,0,1,0,25,70,High,75000,6318699938,priya462@outlook.com
5458 8259 7947,Anita Das,53,"Srikakulam, Andhra Pradesh",poor,77290,daily_wage,0.0,kutcha,owned,4,1,0,0.6,0,0,1,22,82,Critical,100000,9774964990,anita619@yahoo.com
1744 4612 7475,Kamala Pillai,60,"Alappuzha, Kerala",lower_middle,178951,small_business,0.0,semi_pucca,rented,3,0,0,0.3,0,0,0,20,64,High,50000,6334123281,kamala957@gmail.com
3116 7229 9725,Usha Patel,67,"Darbhanga, Bihar",poor,43843,daily_wage,0.0,kutcha,rented,5,0,0,0.3,0,1,0,28,83,Critical,100000,7067974034,usha191@outlook.com
5743 2887 7636,Selvi Yadav,23,"Araria, Bihar",poor,78630,daily_wage,0.0,kutcha,owned,2,1,1,0.9,0,0,0,26,61,High,75000,8713493618,selvi976@gmail.com
7484 6083 6562,Kamala Das,36,"Morigaon, Assam",poor,75194,daily_wage,0.0,semi_pucca,owned,3,0,0,0.8,0,1,0,25,65,High,75000,7242102499,kamala525@yahoo.com
2684 3399 5193,Lakshmi Reddy,34,"Morigaon, Assam",lower_middle,94945,farmer,0.9,kutcha,owned,0,0,0,1.1,0,0,0,25,59,High,50000,8717464887,lakshmi686@gmail.com
3473 8205 2118,Babu Mehta,52,"Araria, Bihar",lower_middle,162306,farmer,2.0,semi_pucca,rented,2,0,0,1.3,0,0,0,26,62,High,50000,9190659401,babu190@outlook.com
9307 7299 8581,Kavitha Chaudhary,59,"Srikakulam, Andhra Pradesh",lower_middle,126129,farmer,1.1,semi_pucca,owned,2,0,0,0.2,0,0,1,22,61,High,50000,7990490278,kavitha47@gmail.com
9266 3827 1641,Jyothi Das,37,"Alappuzha, Kerala",middle,392288,farmer,1.8,semi_pucca,owned,3,0,0,3.5,0,0,0,20,54,High,35000,9429671756,jyothi122@gmail.com
2079 6401 2548,Anita Mehta,57,"Srikakulam, Andhra Pradesh",upper_middle,674070,salaried_govt,0.0,pucca,owned,1,0,1,11.3,1,0,0,22,8,Low,0,8512567468,anita33@gmail.com
7421 3112 2388,Krishnan Pillai,41,"Srikakulam, Andhra Pradesh",poor,73028,daily_wage,0.0,kutcha,owned,1,0,0,0.2,0,1,0,22,62,High,75000,6715451680,krishnan185@gmail.com
7937 9331 6928,Kamala Das,23,"Alappuzha, Kerala",upper_middle,572216,salaried_govt,0.0,pucca,owned,5,0,0,10.5,1,0,0,20,31,Medium,10000,9603859770,kamala495@outlook.com
9843 9626 1618,Rajan Verma,64,"Morigaon, Assam",poor,52395,daily_wage,0.0,kutcha,owned,4,0,0,0.2,0,1,1,25,75,Critical,100000,7482477109,rajan710@yahoo.com
7731 6968 4891,Deepak Sharma,50,"Morigaon, Assam",middle,278754,small_business,0.0,pucca,owned,3,1,1,4.5,0,0,0,25,45,Medium,20000,7248086131,deepak849@gmail.com
5616 7256 9239,Deepak Gupta,55,"Alappuzha, Kerala",lower_middle,110671,farmer,1.1,semi_pucca,owned,2,0,0,1.4,0,0,1,20,59,High,50000,9127484677,deepak439@yahoo.com
5670 2374 3626,Kamala Devi,39,"Srikakulam, Andhra Pradesh",poor,39070,daily_wage,0.0,kutcha,owned,5,0,0,0.5,0,0,0,22,77,Critical,100000,7782639821,kamala93@gmail.com
9224 7126 4862,Anita Mishra,46,"Srikakulam, Andhra Pradesh",upper_middle,448084,salaried_govt,0.0,pucca,owned,4,0,1,7.1,1,1,1,22,13,Low,0,8658404499,anita969@outlook.com
8685 8349 1086,Arun Singh,27,"Darbhanga, Bihar",poor,36493,daily_wage,0.0,kutcha,rented,2,0,0,0.8,0,1,1,28,78,Critical,100000,9278755886,arun445@yahoo.com
4906 7878 8489,Meena Sharma,26,"Darbhanga, Bihar",middle,398880,salaried_private,0.0,semi_pucca,owned,5,1,0,4.0,0,0,0,28,66,High,35000,9533963605,meena657@gmail.com
7825 4068 2402,Krishnan Reddy,55,"Darbhanga, Bihar",upper_middle,681046,salaried_govt,0.0,pucca,owned,4,1,1,5.2,1,1,0,28,24,Low,0,9662702895,krishnan98@gmail.com
6850 2106 6649,Dinesh Kumar,37,"Morigaon, Assam",lower_middle,146535,daily_wage,0.0,semi_pucca,owned,1,0,0,1.4,0,0,0,25,65,High,50000,6718702621,dinesh156@outlook.com
3209 2033 8498,Arun Patel,24,"Darbhanga, Bihar",poor,65783,daily_wage,0.0,kutcha,rented,5,1,0,0.8,0,0,0,28,93,Critical,100000,9459615865,arun327@gmail.com
6848 1783 6438,Prakash Pillai,39,"Morigaon, Assam",lower_middle,85492,farmer,1.1,kutcha,owned,0,1,0,2.4,0,0,1,25,69,High,50000,9809134316,prakash642@outlook.com
5369 2353 7955,Radha Verma,27,"Darbhanga, Bihar",poor,78713,daily_wage,0.0,kutcha,owned,4,1,0,0.3,0,1,0,28,78,Critical,100000,6172400504,radha15@yahoo.com
8325 1693 6776,Deepak Jha,61,"Srikakulam, Andhra Pradesh",poor,36723,daily_wage,0.0,semi_pucca,rented,2,1,0,0.3,0,0,1,22,77,Critical,100000,8562386922,deepak400@yahoo.com
8179 1570 3068,Lakshmi Chaudhary,26,"Srikakulam, Andhra Pradesh",lower_middle,87518,farmer,1.8,semi_pucca,owned,4,1,0,2.4,0,0,0,22,66,High,50000,7196937923,lakshmi347@gmail.com
7012 7521 6150,Arvind Verma,63,"Araria, Bihar",lower_middle,154349,farmer,0.8,semi_pucca,owned,2,1,0,1.1,0,0,1,26,70,High,50000,9474074821,arvind149@gmail.com
4515 5678 9047,Dinesh Gupta,34,"Morigaon, Assam",middle,186793,small_business,0.0,semi_pucca,owned,2,0,0,2.9,0,0,0,25,59,High,35000,9594647436,dinesh545@outlook.com
9882 5757 5914,Krishnan Das,32,"Darbhanga, Bihar",poor,76751,daily_wage,0.0,kutcha,owned,4,1,0,0.7,0,0,1,28,88,Critical,100000,9136959440,krishnan425@gmail.com
2412 2077 6067,Arvind Chaudhary,47,"Araria, Bihar",lower_middle,106342,farmer,1.0,semi_pucca,rented,5,0,0,1.1,0,0,0,26,75,Critical,75000,9409097439,arvind215@yahoo.com
3981 3114 8088,Arvind Iyer,54,"Srikakulam, Andhra Pradesh",lower_middle,89666,small_business,0.0,semi_pucca,owned,3,1,0,0.2,0,0,0,22,66,High,50000,8339421047,arvind931@yahoo.com
5105 4216 5496,Mahesh Das,30,"Darbhanga, Bihar",poor,40790,daily_wage,0.0,semi_pucca,rented,3,1,0,0.2,0,0,0,28,83,Critical,100000,6952145623,mahesh816@gmail.com
2330 1744 5336,Suresh Kumar,63,"Morigaon, Assam",poor,68784,daily_wage,0.0,semi_pucca,owned,2,0,0,0.7,0,0,0,25,65,High,75000,7858842474,suresh66@yahoo.com
8430 2195 1981,Selvi Pillai,32,"Araria, Bihar",rich,927028,salaried_govt,0.0,pucca,owned,3,0,1,11.2,1,0,0,26,17,Low,0,8171236851,selvi665@outlook.com
3142 7070 9437,Krishnan Mishra,57,"Srikakulam, Andhra Pradesh",upper_middle,643501,salaried_govt,0.0,pucca,owned,4,1,0,5.8,1,0,0,22,38,Medium,10000,9048175496,krishnan226@gmail.com
3616 6364 6123,Govind Reddy,34,"Darbhanga, Bihar",middle,302282,salaried_private,0.0,semi_pucca,owned,3,1,0,1.7,1,0,0,28,58,High,35000,8137098593,govind463@yahoo.com
1828 5609 9108,Krishnan Sharma,60,"Araria, Bihar",lower_middle,120441,small_business,0.0,semi_pucca,owned,3,0,1,1.2,0,0,1,26,55,High,50000,6746120047,krishnan273@outlook.com
4189 6939 5728,Selvi Sharma,26,"Srikakulam, Andhra Pradesh",poor,37044,daily_wage,0.0,semi_pucca,rented,4,1,0,0.7,0,0,1,22,82,Critical,100000,6138267586,selvi568@gmail.com
4261 9341 7576,Radha Singh,54,"Srikakulam, Andhra Pradesh",poor,70844,farmer,0.1,semi_pucca,rented,0,1,0,0.4,0,0,1,22,66,High,75000,7617964053,radha423@gmail.com
7438 5902 6511,Babu Patel,54,"Darbhanga, Bihar",lower_middle,123652,daily_wage,0.0,kutcha,rented,2,0,0,0.4,0,0,1,28,83,Critical,75000,9735158506,babu854@outlook.com
8775 5350 4728,Saranya Kumar,68,"Alappuzha, Kerala",upper_middle,695134,salaried_govt,0.0,pucca,owned,6,1,0,6.3,1,0,0,20,36,Medium,10000,8317139005,saranya792@outlook.com
2800 4125 1310,Suresh Menon,50,"Darbhanga, Bihar",upper_middle,674848,salaried_govt,0.0,semi_pucca,owned,3,0,0,10.6,1,1,0,28,33,Medium,10000,7293183933,suresh139@yahoo.com
4397 6325 8837,Arvind Verma,55,"Morigaon, Assam",poor,43362,farmer,0.8,kutcha,owned,5,1,0,0.9,0,0,1,25,84,Critical,100000,8290422842,arvind372@gmail.com
5038 5571 5890,Arun Nair,36,"Srikakulam, Andhra Pradesh",lower_middle,149878,farmer,1.2,kutcha,owned,6,1,0,2.2,0,0,0,22,76,Critical,75000,6020539502,arun973@outlook.com
9899 7220 7464,Mahesh Devi,44,"Morigaon, Assam",rich,1669386,business_owner,8.9,pucca,owned,5,0,1,16.1,0,0,0,25,30,Medium,0,8026811775,mahesh721@gmail.com
5450 3249 2789,Siva Rao,61,"Araria, Bihar",poor,76801,daily_wage,0.0,kutcha,rented,3,1,0,0.7,0,0,1,26,91,Critical,100000,6783908470,siva497@yahoo.com
3252 1084 3587,Arun Devi,48,"Alappuzha, Kerala",middle,193307,small_business,0.0,semi_pucca,owned,2,0,0,4.2,0,1,0,20,44,Medium,20000,6766177115,arun954@outlook.com
7846 3880 1595,Suresh Patel,47,"Srikakulam, Andhra Pradesh",poor,48824,farmer,0.6,semi_pucca,rented,3,1,0,0.1,0,0,0,22,71,High,75000,7124998569,suresh67@gmail.com
9901 9590 9092,Mahesh Gupta,30,"Srikakulam, Andhra Pradesh",upper_middle,551764,salaried_govt,0.0,pucca,owned,4,0,1,8.1,1,1,0,22,8,Low,0,8789611836,mahesh144@gmail.com
4164 3875 7643,Jyothi Pillai,49,"Alappuzha, Kerala",lower_middle,94764,small_business,0.0,semi_pucca,rented,1,1,0,1.9,0,0,1,20,69,High,50000,9365766156,jyothi766@gmail.com
5947 1187 5285,Pushpa Mehta,63,"Alappuzha, Kerala",lower_middle,92502,farmer,0.8,kutcha,owned,6,1,0,0.7,0,1,1,20,74,High,50000,8452711116,pushpa894@yahoo.com
5833 7021 4618,Saranya Devi,36,"Morigaon, Assam",poor,60500,daily_wage,0.0,kutcha,owned,3,1,0,0.5,0,0,0,25,80,Critical,100000,6528098851,saranya745@outlook.com
5054 2341 9609,Siva Nair,50,"Araria, Bihar",upper_middle,638539,salaried_govt,0.0,semi_pucca,owned,4,0,0,6.7,1,0,0,26,36,Medium,10000,9560494519,siva624@gmail.com
2904 4365 9008,Kamala Gupta,27,"Alappuzha, Kerala",middle,327893,salaried_private,0.0,semi_pucca,owned,4,1,0,5.5,0,0,0,20,53,High,35000,7273158514,kamala807@gmail.com
4570 2196 1742,Dinesh Kumar,49,"Alappuzha, Kerala",poor,63636,farmer,0.6,kutcha,owned,2,1,0,0.7,0,1,1,20,64,High,75000,7689980940,dinesh775@outlook.com
7266 8348 7184,Govind Jha,46,"Morigaon, Assam",middle,195795,farmer,1.3,pucca,owned,4,0,0,1.2,0,0,0,25,60,High,35000,7445502296,govind164@yahoo.com
5888 8585 9920,Ramesh Kumar,49,"Darbhanga, Bihar",upper_middle,582331,salaried_govt,0.0,pucca,owned,5,1,0,6.5,1,1,0,28,39,Medium,10000,6201836675,ramesh632@gmail.com
